^AthleteID^|^ActivityID^|^StartTime^|^TotalElapsedTime^|^TotalDistanceMeters^|^MaxSpeedMPH^|^MeasuredTime^|^Latitude^|^Longitude^|^AltitudeMeters^|^DistanceMeters^|^CurrentSpeedMPH^|^CurrentGrade^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:51:46^|^47.662298^|^-122.041396^|^110.0^|^461.0^|^13.2^|^3.6^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:51:47^|^47.662326^|^-122.041322^|^110.0^|^467.4^|^13.4^|^5.2^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:51:48^|^47.662365^|^-122.041265^|^110.7^|^473.5^|^13.6^|^6.4^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:51:49^|^47.662414^|^-122.041227^|^111.2^|^479.6^|^13.9^|^7.7^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:51:50^|^47.662469^|^-122.041207^|^111.6^|^486.0^|^14.1^|^5.7^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:51:51^|^47.662524^|^-122.041202^|^111.9^|^492.1^|^13.9^|^4.6^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:51:52^|^47.662576^|^-122.041204^|^112.1^|^497.9^|^13.6^|^3.9^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:51:53^|^47.662626^|^-122.041208^|^112.3^|^503.5^|^13.4^|^3.1^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:51:54^|^47.662678^|^-122.04121^|^112.5^|^509.2^|^13.2^|^2.7^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:51:55^|^47.662729^|^-122.041211^|^112.6^|^514.8^|^13.0^|^2.3^
